HGNC.symbol	PROBEID
ORM1	205041_s_at
ORM1	205040_at
ORM1	205041_s_at
ORM1	205040_at
TSHZ2	244521_at
TSHZ2	235616_at
TSHZ2	235815_at
TSHZ2	243940_at
TSHZ2	238577_s_at
TSHZ2	220213_at
TSHZ2	235815_at
TSHZ2	220213_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
TBCB	216194_s_at
TBCB	201804_x_at
TBCB	211759_x_at
FBXO36	236525_at
FBXO36	1555195_at
FBXO36	236525_at
FBXO36	236525_at
ZFP36L2	201368_at
ZFP36L2	201367_s_at
ZFP36L2	201369_s_at
RNU6-322P	1559188_x_at
RNU6-322P	1559186_at
CDC42BPB	217849_s_at
CDC42BPB	1557963_at
CDC42BPB	1557963_at
CDC42BPB	1557963_at
VEGFD	206742_at
VEGFD	206742_at
ZDHHC17	212982_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
ZDHHC17	217486_s_at
SAA4	207096_at
ITGA2B	206493_at
ITGA2B	206493_at
ITGA2B	216956_s_at
ITGA2B	206493_at
ITGA2B	216956_s_at
ITGA2B	206494_s_at
ITGA2B	216956_s_at
ITGA2B	206494_s_at
GCFC2	216305_s_at
GCFC2	216305_s_at
GCFC2	216305_s_at
GCFC2	216305_s_at
GCFC2	216305_s_at
GCFC2	210175_at
GCFC2	216305_s_at
RRAGB	205540_s_at
RRAGB	205540_s_at
MIR3152	237217_at
CNOT6L	226153_s_at
CNOT6L	227119_at
CNOT6L	238438_at
CNOT6L	1553267_a_at
CNOT6L	226153_s_at
CNOT6L	1553267_a_at
CNOT6L	1553267_a_at
CNOT6L	1553267_a_at
CNOT6L	1553266_at
CNOT6L	1553267_a_at
CNOT6L	1553267_a_at
F2	205754_at
NMUR2	224088_at
ZNF578	1562244_at
ZNF578	1562245_a_at
ZNF578	1562244_at
ZNF578	1562245_a_at
ZNF578	1562244_at
ZNF578	1562245_a_at
ZNF578	1562244_at
ZNF578	1562245_a_at
C11orf42	1553895_at
SNORD14E	224187_x_at
SNORD14E	208687_x_at
SNORD14E	221891_x_at
RCAN2	203498_at
RCAN2	203498_at
RCAN2	203498_at
RCAN2	203498_at
MB21D2	227599_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
GRINA	212090_at
HDHD3	221256_s_at
HDHD3	221256_s_at
HDHD3	221256_s_at
GOLT1A	229372_at
GOLT1A	229372_at
MACROD1	219188_s_at
MACROD1	219188_s_at
MACROD1	219188_s_at
MACROD1	219188_s_at
NUFIP1	205134_s_at
NUFIP1	205136_s_at
NUFIP1	205135_s_at
SNORD118	235490_at
SNORD118	224496_s_at
SNORD118	224495_at
EMILIN3	228307_at
TMTC1	224397_s_at
TMTC1	226931_at
TMTC1	244506_at
TMTC1	226322_at
TMTC1	224397_s_at
TMTC1	244506_at
TMTC1	224397_s_at
TMTC1	244506_at
TMTC1	224397_s_at
TMTC1	244506_at
TMTC1	224397_s_at
TMTC1	244506_at
ZNF83	221645_s_at
ZNF83	221645_s_at
ZNF83	221645_s_at
ZNF83	221645_s_at
ZNF83	221645_s_at
ZNF83	221645_s_at
WWC2-AS2	230572_at
RPL7P25	216588_at
LINC01563	244824_at
MOGAT1	1553062_at
FRG1BP	204145_at
ZRANB1	225130_at
ZRANB1	225138_at
ZRANB1	225131_at
RBM12B-AS1	220222_at
OR1C1	1567055_at
TMEM151B	213676_at
TMEM151B	213678_at
COL10A1	205941_s_at
COL10A1	217428_s_at
COL10A1	205941_s_at
COL10A1	217428_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	238118_s_at
PPOX	238117_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	238118_s_at
PPOX	238117_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
PPOX	204788_s_at
ZBTB47	234338_s_at
ZBTB47	226484_at
ZBTB47	234338_s_at
ZBTB47	226484_at
LINC01504	230279_at
LINC01504	230279_at
GRM6	208035_at
FZD2	210220_at
B9D2	219766_at
B9D2	219766_at
SSTR4	214556_at
UBIAD1	229348_at
UBIAD1	219131_at
TAAR3	221393_at
TAAR3	221393_at
FAM170A	1562906_at
FAM170A	1562906_at
FAM170A	1562906_at
FAM170A	1562906_at
FAM170A	1562906_at
FAM170A	1562906_at
HEG1	213069_at
HEG1	212822_at
HEG1	212822_at
SRGAP2C	1568955_at
SRGAP2C	1568957_x_at
SRGAP2C	232095_at
SRGAP2C	228628_at
SCARA5	235849_at
SCARA5	229839_at
SCARA5	235849_at
SCARA5	229839_at
SCARA5	1554705_at
SCARA5	1554705_at
SNORD54	214003_x_at
LHX2	206140_at
LHX2	211219_s_at
LHX2	206140_at
LHX2	211219_s_at
LHX2	206140_at
LHX2	211219_s_at
MIR1224	232642_at
RPS4XP16	1557117_at
RPS4XP16	1557117_at
SLAMF8	219385_at
SLAMF8	219386_s_at
SLAMF8	219385_at
SLAMF8	219386_s_at
SLAMF8	219385_at
SLAMF8	219386_s_at
PRB2	210597_x_at
PRB2	207752_x_at
PRB2	211531_x_at
LINC01094	229635_at
LINC01094	229635_at
LINC01094	229635_at
LINC01094	229635_at
ZNF680	229533_x_at
EFHD2	217992_s_at
EFHD2	222483_at
EFHD2	217992_s_at
EFHD2	222483_at
RBM12B	51228_at
RBM12B	238122_at
RBM12B	240127_at
RBM12B	51228_at
RBM12B	238122_at
RBM12B	51228_at
CGB3	205387_s_at
ZNF600	242463_x_at
ANKRD49	219069_at
ANKRD49	219069_at
ANKRD49	219069_at
ANKRD49	219069_at
ANKRD49	219069_at
ANKRD49	219069_at
EFHB	239477_at
EFHB	239477_at
ZSCAN29	226562_at
GDF15	221577_x_at
GDF15	221577_x_at
GDF15	221577_x_at
OTUD3	213216_at
BEGAIN	220795_s_at
BEGAIN	220795_s_at
BEGAIN	220795_s_at
BEGAIN	220795_s_at
BEGAIN	220795_s_at
EFNA4	205107_s_at
EFNA4	205107_s_at
EFNA4	205107_s_at
NCKAP1	207738_s_at
NCKAP1	207738_s_at
NCKAP1	207738_s_at
FOXK1	230342_at
FOXK1	226715_at
BUD31	205690_s_at
BUD31	205690_s_at
BUD31	205690_s_at
BUD31	205690_s_at
BUD31	205690_s_at
BUD31	205690_s_at
MIR1291	221821_s_at
CEL	205910_s_at
CEL	1553970_s_at
CEL	207412_x_at
TUBB1	208601_s_at
TUBB1	230690_at
PRCD	230015_at
PRCD	1556727_at
PRCD	1556727_at
PRCD	1556727_at
PRCD	230015_at
PRCD	230015_at
PRCD	230015_at
PRCD	230015_at
PRCD	230015_at
PRCD	230015_at
REG3G	231661_at
REG3G	231661_at
REG3G	231661_at
LINC01222	1561411_at
RAB3IL1	219579_at
RAB3IL1	219579_at
RAB3IL1	219579_at
RAB3IL1	219579_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	212225_at
EIF1	211956_s_at
EIF1	228967_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	211956_s_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	211956_s_at
EIF1	228967_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	212225_at
EIF1	211956_s_at
EIF1	228967_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	211956_s_at
EIF1	228967_at
EIF1	202021_x_at
EIF1	212130_x_at
EIF1	212227_x_at
EIF1	211956_s_at
EIF1	211956_s_at
FRY-AS1	1558793_at
SOX15	206122_at
SOX15	206122_at
PGM2	223738_s_at
PGM2	225367_at
PGM2	225366_at
PGM2	223738_s_at
PGM2	225367_at
PGM2	225366_at
PGM2	223738_s_at
PGM2	225367_at
MPPED2	215692_s_at
MPPED2	205413_at
MPPED2	215692_s_at
MPPED2	205413_at
MPPED2	205413_at
MPPED2	205413_at
MPPED2	215692_s_at
MPPED2	215692_s_at
SPRY4-IT1	1566968_at
SDF2	203090_at
SDF2	203090_at
SDF2	203090_at
SDF2	203090_at
SDF2	203090_at
SDF2	203090_at
SDF2	203090_at
DCTN5	209231_s_at
DCTN5	1555900_at
DCTN5	209232_s_at
DCTN5	232343_at
DCTN5	1556646_at
DCTN5	209231_s_at
DCTN5	209231_s_at
DCTN5	209232_s_at
RPL18AP16	216383_at
C7orf73	224752_at
C7orf73	224752_at
C7orf73	224751_at
C7orf73	1558578_a_at
DAZ3	208282_x_at
DAZ3	207909_x_at
DAZ3	216922_x_at
DAZ3	208281_x_at
DAZ3	216351_x_at
DAZ3	207912_s_at
DAZ3	208282_x_at
DAZ3	207909_x_at
DAZ3	208281_x_at
DAZ3	207912_s_at
DAZ3	208282_x_at
DAZ3	207909_x_at
DAZ3	216922_x_at
DAZ3	208281_x_at
DAZ3	216351_x_at
DAZ3	207912_s_at
GBX2	210560_at
GBX2	210560_at
GBX2	210560_at
EZR	208621_s_at
EZR	208622_s_at
EZR	217234_s_at
EZR	208623_s_at
EZR	208621_s_at
EZR	208622_s_at
EZR	217234_s_at
EZR	208623_s_at
EZR	208621_s_at
EZR	208621_s_at
EZR	208622_s_at
EZR	217234_s_at
EZR	208623_s_at
PTGES3L	238740_at
PTGES3L	238740_at
PTGES3L	238740_at
PTGES3L	238740_at
PTGES3L	238740_at
PTGES3L	238740_at
CEP135	206003_at
CEP135	206003_at
CEP135	207286_at
WDPCP	224180_x_at
WDPCP	231770_x_at
WDPCP	224180_x_at
WDPCP	231770_x_at
WDPCP	224180_x_at
WDPCP	231770_x_at
WDPCP	231770_x_at
WDPCP	224180_x_at
WDPCP	231770_x_at
WDPCP	224180_x_at
WDPCP	231770_x_at
IGHV4-59	216491_x_at
IGHV4-59	211637_x_at
